receipt_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
60182f610a720f05f800033e,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,35.0,2021-01-31,1.0,FINISHED,1.0,60182f1dc8b50e11d84548c4
601890b80a7214ad28000020,5.0,All-receipts receipt bonus,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,5.0,2021-02-01,4.0,FINISHED,25.0,601890b2c8b50e11d8454e82
601485370a720f05f8000175,,,2021-01-29,2021-01-29,2021-01-29,2021-02-01,2021-01-29,210.0,2021-01-29,1.0,FINISHED,21.0,60147d2ac8b50e11d8453f53
6017ab130a720f05f80002e0,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601890d50a720f05f4000057,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,25.0,2021-01-25,1.0,FINISHED,10.0,601890689a1b091205b61c87
6014853a0a7214ad50000106,,,2021-01-29,2021-01-29,2021-01-29,2021-02-01,2021-01-29,209.5,2021-01-29,1.0,FINISHED,20.95,60147d2ac8b50e11d8453f53
6017ff730a720f05f8000301,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c850a7214ad28000034,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-02,2021-02-02,,2021-02-02,2021-02-02,750.0,2021-02-01,1.0,FLAGGED,1.0,60189c859a1b091205b61de1
60189ffe0a720f05f4000066,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6018b92a0a7214ad2800005e,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,60186237c8b50e11d8454d5f
60189c980a7214ad28000040,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,100.0,2021-02-02,4.0,FINISHED,26.0,60189c94c8b50e11d8454f6b
6018a95f0a7214ad28000056,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6018b93c0a7214ad28000061,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,60186237c8b50e11d8454d5f
60189c9c0a7214ad28000045,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-02,5.0,FINISHED,27.0,60189c94c8b50e11d8454f6b
60189cc00a720f05f4000063,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,25.0,2021-02-01,5.0,FINISHED,50.0,60189c74c8b50e11d8454eff
6018b89c0a7214ad2800005d,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c7b0a7214ad2800002e,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
